iter	RMSE
0	20.0550158
1	19.74005611
2	19.43409271
3	19.14266205
4	18.85831392
5	18.58207759
6	18.31969152
7	18.0718256
8	17.83519964
9	17.60652169
10	17.38654431
11	17.17333627
12	16.97428231
13	16.78172541
14	16.59593028
15	16.4235407
16	16.2555814
17	16.08717263
18	15.92263093
19	15.76979894
20	15.6295095
21	15.49266602
22	15.36194574
23	15.24133117
24	15.12074409
25	15.00526343
26	14.8965314
27	14.79225329
28	14.69541325
29	14.60042912
30	14.50673307
31	14.41685791
32	14.3321057
33	14.24213893
34	14.1612851
35	14.07357534
36	14.00244426
37	13.92249206
38	13.85463408
39	13.78900021
40	13.7288881
41	13.67018291
42	13.61553438
43	13.5593709
44	13.50414473
45	13.45155822
46	13.4005206
47	13.3536782
48	13.30861475
49	13.26749685
50	13.22060519
51	13.17445455
52	13.13140222
53	13.09034395
54	13.04341061
55	13.00803836
56	12.97447201
57	12.94278677
58	12.9078608
59	12.8741995
60	12.84404842
61	12.80623265
62	12.7764462
63	12.75064795
64	12.72519842
65	12.68876663
66	12.66210934
67	12.63655557
68	12.60472026
69	12.57802098
70	12.55109203
71	12.5268742
72	12.49792805
73	12.47403811
74	12.44881016
75	12.42794425
76	12.40757248
77	12.38455073
78	12.36826987
79	12.34280872
80	12.32397379
81	12.29350588
82	12.26804146
83	12.25086581
84	12.23194035
85	12.21183916
86	12.18999309
87	12.16755984
88	12.14567494
89	12.12012824
90	12.10040058
91	12.07675902
92	12.06011162
93	12.03770044
94	12.02539651
95	12.01228232
96	11.99204968
97	11.97540734
98	11.95270735
99	11.94172421
100	11.92614861
101	11.91082496
102	11.89663742
103	11.8864457
104	11.87532768
105	11.85427586
106	11.83353334
107	11.8230088
108	11.81335224
109	11.79994913
110	11.79010071
111	11.78052901
112	11.76785301
113	11.7580135
114	11.74117126
115	11.73350145
116	11.71570929
117	11.70298739
118	11.6860782
119	11.6671978
120	11.65479333
121	11.64181754
122	11.6306969
123	11.62130587
124	11.60804974
125	11.59669759
126	11.58219205
127	11.56572846
128	11.55483497
129	11.5394022
130	11.53101686
131	11.52121911
132	11.50424777
133	11.48907922
134	11.47945477
135	11.46407632
136	11.45600576
137	11.44020581
138	11.42908122
139	11.420194
140	11.41046655
141	11.39808617
142	11.38716913
143	11.37979402
144	11.36575364
145	11.35364264
146	11.33877624
147	11.32462269
148	11.31629724
149	11.30330511
150	11.29452129
151	11.28740113
152	11.27769927
153	11.26548521
154	11.25332877
155	11.24282219
156	11.23655264
157	11.226821
158	11.21499386
159	11.20593302
160	11.19683347
161	11.18534328
162	11.17348503
163	11.16578357
164	11.15614926
165	11.15001622
166	11.14351566
167	11.13443629
168	11.1271087
169	11.11866308
170	11.10835266
171	11.09825005
172	11.08920111
173	11.08006832
174	11.06928457
175	11.06198579
176	11.0533304
177	11.04550717
178	11.03462054
179	11.02785675
180	11.01973352
181	11.01200442
182	11.00558517
183	10.99848232
184	10.99125949
185	10.98157541
186	10.97364476
187	10.96478921
188	10.96019268
189	10.95285847
190	10.94695974
191	10.93514084
192	10.92533626
193	10.91801268
194	10.90307756
195	10.89613094
196	10.88339149
197	10.87832749
198	10.87236388
199	10.8614478
200	10.84954791
201	10.8429434
202	10.83611221
203	10.82545967
204	10.81897532
205	10.81260922
206	10.80535185
207	10.79816683
208	10.79334009
209	10.78520238
210	10.77971153
211	10.77352207
212	10.76602128
213	10.76222306
214	10.75571385
215	10.74898803
216	10.73832763
217	10.73037163
218	10.72183981
219	10.71550092
220	10.70479746
221	10.69379606
222	10.68499596
223	10.67807775
224	10.66936353
225	10.66353724
226	10.65667384
227	10.65058178
228	10.64472599
229	10.63455478
230	10.62993372
231	10.62099482
232	10.61774053
233	10.6105267
234	10.60061941
235	10.5944308
236	10.58983384
237	10.5857933
238	10.58004215
239	10.57560416
240	10.57050292
241	10.561287
242	10.55644507
243	10.54871035
244	10.54205815
245	10.53423326
246	10.52859695
247	10.52446786
248	10.51423972
249	10.50542589
250	10.50093307
251	10.49345968
252	10.48322427
253	10.47833839
254	10.46937914
255	10.46149913
256	10.45246533
257	10.44446138
258	10.4394685
259	10.43040392
260	10.42291423
261	10.41666656
262	10.40797872
263	10.39944411
264	10.39357365
265	10.38837692
266	10.38315303
267	10.37187402
268	10.36642901
269	10.35900149
270	10.35473001
271	10.35024976
272	10.34632414
273	10.33693597
274	10.32774008
275	10.32466594
276	10.32087207
277	10.31658125
278	10.30832459
279	10.30501833
280	10.30173242
281	10.29946725
282	10.29305799
283	10.28676176
284	10.2792809
285	10.27153817
286	10.26692882
287	10.26152045
288	10.2561012
289	10.25068708
290	10.2419582
291	10.23391251
292	10.22920878
293	10.22131006
294	10.21445503
295	10.21065089
296	10.20124825
297	10.19262946
298	10.18754449
299	10.18072978
